food_type,base_safe_time,temperature_c,humidity_percent,time_since_cooked_min,packaging_type,sun_exposure,quantity_kg,safe_minutes_remaining
dal,110,34.0,88.5,97,semi_covered,outdoor_direct_sun,15.4,0.0
samosa_kachori,135,37.3,89.2,38,open,indoor_ac,17.0,16.6
dairy_sweets,60,38.1,86.0,111,sealed,outdoor_direct_sun,17.3,0.0
fried_rice,125,40.4,82.9,26,open,indoor_ac,20.7,21.9
rice_meal,120,24.9,41.1,121,open,indoor_no_ac,5.8,0.0
rice_meal,120,24.4,45.3,149,sealed,outdoor_shaded,12.8,0.0
noodles,110,28.8,83.1,57,semi_covered,outdoor_direct_sun,15.6,0.0
fried_snacks,140,26.0,63.3,143,semi_covered,indoor_ac,7.3,0.0
raw_vegetable_salad,75,30.1,51.4,48,semi_covered,indoor_ac,17.0,0.0
noodles,110,38.2,82.4,13,open,indoor_ac,6.0,17.4
bakery_cake,85,35.1,68.9,90,semi_covered,indoor_no_ac,19.9,0.0
fried_snacks,140,29.1,55.0,104,sealed,indoor_ac,11.7,19.9
biryani,115,40.0,50.2,84,semi_covered,outdoor_shaded,4.7,0.0
biryani,115,25.9,68.2,42,semi_covered,indoor_no_ac,20.7,29.3
bread_items,170,34.6,89.0,144,sealed,outdoor_direct_sun,7.9,0.0
samosa_kachori,135,39.5,77.0,126,open,outdoor_shaded,6.8,0.0
biryani,115,39.3,38.5,107,semi_covered,outdoor_shaded,10.8,0.0
salad_cut_fruits,70,39.5,65.6,150,semi_covered,indoor_ac,3.7,0.0
dairy_sweets,60,38.8,93.5,35,sealed,outdoor_shaded,7.3,0.0
bread_items,170,37.9,64.1,61,semi_covered,outdoor_direct_sun,18.9,56.4
bakery_cake,85,36.8,42.7,35,semi_covered,outdoor_shaded,8.1,3.6
salad_cut_fruits,70,24.9,78.5,24,open,outdoor_direct_sun,10.5,0.0
samosa_kachori,135,33.8,73.4,139,semi_covered,outdoor_shaded,21.2,0.0
pizza,95,29.4,48.5,33,open,outdoor_shaded,9.6,0.0
salad_cut_fruits,70,34.1,41.2,133,semi_covered,indoor_no_ac,21.3,0.0
raw_vegetable_salad,75,32.1,62.0,9,open,outdoor_shaded,7.1,0.0
samosa_kachori,135,39.0,57.8,62,semi_covered,outdoor_direct_sun,18.0,0.0
curry_gravy,100,41.6,49.9,81,sealed,outdoor_shaded,14.0,0.0
curry_gravy,100,24.4,76.2,135,sealed,indoor_no_ac,8.5,0.0
raw_vegetable_salad,75,30.2,38.1,92,sealed,outdoor_direct_sun,6.8,0.0
raw_vegetable_salad,75,30.0,73.3,56,semi_covered,outdoor_direct_sun,9.9,0.0
noodles,110,34.9,82.5,76,semi_covered,indoor_ac,13.1,0.0
bakery_cake,85,33.1,71.7,75,open,indoor_no_ac,13.0,0.0
dairy_sweets,60,24.2,91.4,25,sealed,indoor_ac,19.0,0.0
chicken_curry,90,25.3,73.4,47,open,outdoor_shaded,24.9,0.0
fried_rice,125,31.4,48.7,13,open,indoor_ac,25.0,62.3
samosa_kachori,135,30.7,65.1,64,open,indoor_ac,10.6,7.7
